2026-04-02 19:31:43 | INFO | src.feature_engineer:calculate_lag_features:252 | 计算了滞后特征: 5 列 × 5 期
2026-04-02 19:31:43 | INFO | src.feature_engineer:calculate_target_variables:290 | 目标变量计算完成
2026-04-02 19:31:43 | INFO | src.feature_engineer:create_feature_matrix:338 | 特征矩阵创建完成 - 总特征数: 61
2026-04-02 19:31:43 | INFO | src.feature_engineer:select_features:383 | 移除常数特征: 6 个
2026-04-02 19:31:43 | INFO | src.feature_engineer:select_features:400 | 特征选择完成 - 选择了 30 个特征
2026-04-02 19:31:43 | INFO | __main__:collect_and_prepare_data:242 | Local dataset preparation complete - 70406 raw rows, 30 selected features
2026-04-02 19:32:19 | INFO | __main__:train_models:255 | Starting AI model training...
2026-04-02 19:32:19 | INFO | src.ai_models:train_ensemble_models:303 | 开始训练集成模型...
2026-04-02 19:32:19 | INFO | src.ai_models:prepare_training_data:186 | 训练数据准备完成 - 训练集: 56124, 测试集: 14031
2026-04-02 19:32:19 | INFO | src.ai_models:train_single_model:217 | 开始训练模型: random_forest
2026-04-02 19:32:29 | INFO | src.ai_models:train_single_model:281 | 模型 random_forest 训练完成 - 测试准确率: 0.5089444800798233
2026-04-02 19:32:29 | INFO | src.ai_models:train_single_model:217 | 开始训练模型: xgboost
2026-04-02 19:32:29 | INFO | src.ai_models:train_single_model:281 | 模型 xgboost 训练完成 - 测试准确率: 0.5088732093222151
2026-04-02 19:32:29 | INFO | src.ai_models:train_single_model:217 | 开始训练模型: logistic_regression
2026-04-02 19:32:29 | INFO | src.ai_models:train_single_model:281 | 模型 logistic_regression 训练完成 - 测试准确率: 0.512080393414582
2026-04-02 19:32:29 | INFO | src.ai_models:train_ensemble_models:341 | 集成模型训练完成 - 成功训练 3 个模型
2026-04-02 19:32:29 | INFO | src.ai_models:save_models:500 | 模型已保存至: models/ai_models_20260402_193229.joblib
2026-04-02 19:32:29 | INFO | __main__:train_models:273 | === Model Training Results ===
2026-04-02 19:32:29 | INFO | __main__:train_models:276 | random_forest: test accuracy = 0.5089
2026-04-02 19:32:29 | INFO | __main__:train_models:276 | xgboost: test accuracy = 0.5089
2026-04-02 19:32:29 | INFO | __main__:train_models:276 | logistic_regression: test accuracy = 0.5121
2026-04-02 19:34:04 | INFO | src.trader:start_trading:93 | Starting real-time trading engine...
2026-04-02 19:34:04 | INFO | src.trader:_data_collection_loop:130 | Market data collection loop started
2026-04-02 19:34:04 | INFO | src.trader:_trading_decision_loop:158 | Trading decision loop started
2026-04-02 19:34:04 | INFO | src.trader:start_trading:106 | Trading engine started
2026-04-02 19:35:45 | INFO | src.trader:stop_trading:110 | Stopping trading engine...
2026-04-02 19:35:45 | INFO | src.trader:stop_trading:116 | Trading engine stopped
2026-04-02 19:35:52 | INFO | src.broker_interface:disconnect_all:847 | 所有券商连接已断开
2026-04-02 19:35:55 | INFO | __main__:__init__:75 | === AI Gold Trading System Startup ===
2026-04-02 19:35:55 | INFO | src.data_collector:__init__:51 | Data collector initialized - symbol: XAUUSD
2026-04-02 19:35:55 | INFO | src.feature_engineer:__init__:29 | Feature engineer initialized
2026-04-02 19:35:55 | INFO | src.ai_models:__init__:52 | AI model manager initialized - model type: ensemble
2026-04-02 19:35:55 | INFO | src.risk_manager:__init__:45 | Risk manager initialized - max daily loss: $30
2026-04-02 19:35:55 | INFO | src.backtester:__init__:84 | Backtester initialized - initial capital: $10000
2026-04-02 19:35:55 | INFO | src.trader:__init__:81 | Trading engine initialized
2026-04-02 19:35:55 | INFO | __main__:__init__:103 | Trading system initialization complete
2026-04-02 19:38:54 | INFO | src.broker_interface:disconnect_all:847 | 所有券商连接已断开
2026-04-02 19:38:57 | INFO | __main__:__init__:75 | === AI Gold Trading System Startup ===
2026-04-02 19:38:57 | INFO | src.data_collector:__init__:51 | Data collector initialized - symbol: XAUUSD
2026-04-02 19:38:57 | INFO | src.feature_engineer:__init__:29 | Feature engineer initialized
2026-04-02 19:38:57 | INFO | src.ai_models:__init__:52 | AI model manager initialized - model type: ensemble
2026-04-02 19:38:57 | INFO | src.risk_manager:__init__:45 | Risk manager initialized - max daily loss: $30
2026-04-02 19:38:57 | INFO | src.backtester:__init__:84 | Backtester initialized - initial capital: $10000
2026-04-02 19:38:57 | INFO | src.trader:__init__:81 | Trading engine initialized
2026-04-02 19:38:57 | INFO | __main__:__init__:103 | Trading system initialization complete
2026-04-02 19:38:58 | INFO | __main__:collect_and_prepare_data:186 | Starting local dataset import and preparation...
2026-04-02 19:39:02 | INFO | src.data_collector:load_csv_preview:62 | Loaded CSV preview: C:\Users\Bruh\Desktop\Data\XAUUSDm_M5_202501012305_202512312155.csv
2026-04-02 19:39:18 | INFO | src.data_collector:import_local_csv:81 | Imported local CSV dataset: C:\Users\Bruh\Desktop\Data\XAUUSDm_M5_202501012305_202512312155.csv (70406 rows)
2026-04-02 19:39:18 | INFO | src.data_collector:validate_data_quality:385 | 数据质量验证通过
2026-04-02 19:39:19 | INFO | src.data_collector:save_data_to_db:276 | 数据已保存到数据库表: raw_data
2026-04-02 19:39:19 | INFO | src.feature_engineer:create_feature_matrix:316 | 开始创建特征矩阵...
2026-04-02 19:39:19 | INFO | src.feature_engineer:calculate_technical_indicators:136 | 计算了 34 个技术指标
2026-04-02 19:39:19 | INFO | src.feature_engineer:calculate_statistical_features:181 | 统计特征计算完成
2026-04-02 19:39:19 | INFO | src.feature_engineer:calculate_time_features:222 | 时间特征计算完成
2026-04-02 19:39:19 | INFO | src.feature_engineer:calculate_lag_features:257 | 计算了滞后特征: 5 列 × 5 期
2026-04-02 19:39:19 | INFO | src.feature_engineer:calculate_target_variables:297 | 目标变量计算完成
2026-04-02 19:39:19 | INFO | src.feature_engineer:create_feature_matrix:345 | 特征矩阵创建完成 - 总特征数: 110
2026-04-02 19:39:19 | INFO | src.feature_engineer:select_features:390 | 移除常数特征: 8 个
2026-04-02 19:39:19 | INFO | src.feature_engineer:select_features:407 | 特征选择完成 - 选择了 30 个特征
2026-04-02 19:39:19 | INFO | __main__:collect_and_prepare_data:242 | Local dataset preparation complete - 70406 raw rows, 30 selected features
2026-04-02 19:39:42 | INFO | __main__:run_backtest:282 | Starting professional backtest...
2026-04-02 19:39:42 | ERROR | __main__:run_backtest:285 | Please train the models first
2026-04-02 19:39:53 | INFO | __main__:train_models:255 | Starting AI model training...
2026-04-02 19:39:53 | INFO | src.ai_models:train_ensemble_models:303 | 开始训练集成模型...
2026-04-02 19:39:53 | INFO | src.ai_models:prepare_training_data:186 | 训练数据准备完成 - 训练集: 56275, 测试集: 14069
2026-04-02 19:39:53 | INFO | src.ai_models:train_single_model:217 | 开始训练模型: random_forest
2026-04-02 19:40:03 | INFO | src.ai_models:train_single_model:281 | 模型 random_forest 训练完成 - 测试准确率: 0.5074987561304997
2026-04-02 19:40:03 | INFO | src.ai_models:train_single_model:217 | 开始训练模型: xgboost
2026-04-02 19:40:04 | INFO | src.ai_models:train_single_model:281 | 模型 xgboost 训练完成 - 测试准确率: 0.5069301300732106
2026-04-02 19:40:04 | INFO | src.ai_models:train_single_model:217 | 开始训练模型: logistic_regression
2026-04-02 19:40:04 | INFO | src.ai_models:train_single_model:281 | 模型 logistic_regression 训练完成 - 测试准确率: 0.5169521643329306
2026-04-02 19:40:04 | INFO | src.ai_models:train_ensemble_models:341 | 集成模型训练完成 - 成功训练 3 个模型
2026-04-02 19:40:04 | INFO | src.ai_models:save_models:500 | 模型已保存至: models/ai_models_20260402_194004.joblib
2026-04-02 19:40:04 | INFO | __main__:train_models:273 | === Model Training Results ===
2026-04-02 19:40:04 | INFO | __main__:train_models:276 | random_forest: test accuracy = 0.5075
2026-04-02 19:40:04 | INFO | __main__:train_models:276 | xgboost: test accuracy = 0.5069
2026-04-02 19:40:04 | INFO | __main__:train_models:276 | logistic_regression: test accuracy = 0.5170
2026-04-02 19:41:40 | INFO | __main__:run_backtest:282 | Starting professional backtest...
2026-04-02 19:41:40 | INFO | src.backtester:run_backtest:315 | 开始运行回测...
2026-04-02 19:41:40 | INFO | src.backtester:reset:96 | Backtester state reset
2026-04-02 19:41:40 | INFO | src.feature_engineer:create_feature_matrix:316 | 开始创建特征矩阵...
2026-04-02 19:41:40 | INFO | src.feature_engineer:calculate_technical_indicators:136 | 计算了 0 个技术指标
2026-04-02 19:41:40 | INFO | src.feature_engineer:calculate_statistical_features:181 | 统计特征计算完成
2026-04-02 19:41:40 | INFO | src.feature_engineer:calculate_time_features:222 | 时间特征计算完成
2026-04-02 19:41:40 | INFO | src.feature_engineer:calculate_lag_features:257 | 计算了滞后特征: 5 列 × 5 期
2026-04-02 19:41:40 | INFO | src.feature_engineer:create_feature_matrix:345 | 特征矩阵创建完成 - 总特征数: 0
2026-04-02 19:41:50 | INFO | src.backtester:run_backtest:400 | 回测完成
2026-04-02 19:41:50 | INFO | __main__:run_backtest:302 | === Backtest Result Summary ===
2026-04-02 19:41:50 | INFO | __main__:run_backtest:303 | Total trades: 0
2026-04-02 19:41:50 | INFO | __main__:run_backtest:304 | Winning trades: 0
2026-04-02 19:41:50 | INFO | __main__:run_backtest:305 | Losing trades: 0
2026-04-02 19:41:50 | INFO | __main__:run_backtest:306 | Win rate: 0.0%
2026-04-02 19:41:50 | INFO | __main__:run_backtest:307 | Total PnL: $0.00
2026-04-02 19:41:50 | INFO | __main__:run_backtest:308 | Max drawdown: 0.00%
2026-04-02 19:41:50 | INFO | __main__:run_backtest:309 | Sharpe ratio: 0.00
2026-04-02 19:41:50 | INFO | __main__:run_backtest:310 | Profit factor: 0.00
2026-04-02 19:41:50 | INFO | src.backtester:save_results:703 | 回测结果已保存: reports/backtest_result_20260402_194150.json
2026-04-02 19:41:50 | ERROR | src.backtester:plot_results:649 | 绘制回测结果失败: cannot convert float NaN to integer
2026-04-02 19:44:46 | INFO | src.broker_interface:disconnect_all:847 | 所有券商连接已断开
2026-04-02 19:44:49 | INFO | __main__:__init__:75 | === AI Gold Trading System Startup ===
2026-04-02 19:44:49 | INFO | src.data_collector:__init__:51 | Data collector initialized - symbol: XAUUSD
2026-04-02 19:44:49 | INFO | src.feature_engineer:__init__:29 | Feature engineer initialized
2026-04-02 19:44:49 | INFO | src.ai_models:__init__:52 | AI model manager initialized - model type: ensemble
2026-04-02 19:44:49 | INFO | src.risk_manager:__init__:45 | Risk manager initialized - max daily loss: $30
2026-04-02 19:44:49 | INFO | src.backtester:__init__:84 | Backtester initialized - initial capital: $10000
2026-04-02 19:44:49 | INFO | src.trader:__init__:81 | Trading engine initialized
2026-04-02 19:44:49 | INFO | __main__:__init__:103 | Trading system initialization complete
2026-04-02 19:44:51 | INFO | __main__:collect_and_prepare_data:186 | Starting local dataset import and preparation...
2026-04-02 19:44:57 | INFO | src.data_collector:load_csv_preview:62 | Loaded CSV preview: C:\Users\Bruh\Desktop\Data\XAUUSDm_M5_202501012305_202512312155.csv
2026-04-02 19:45:08 | INFO | src.data_collector:import_local_csv:81 | Imported local CSV dataset: C:\Users\Bruh\Desktop\Data\XAUUSDm_M5_202501012305_202512312155.csv (70406 rows)
2026-04-02 19:45:08 | INFO | src.data_collector:validate_data_quality:385 | 数据质量验证通过
2026-04-02 19:45:09 | INFO | src.data_collector:save_data_to_db:276 | 数据已保存到数据库表: raw_data
2026-04-02 19:45:09 | INFO | src.feature_engineer:create_feature_matrix:316 | 开始创建特征矩阵...
