<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.03	20:30:00	2639.241	2639.775	2636.881	2638.163	2382	0	159
2025.01.03	21:00:00	2638.196	2638.719	2636.995	2637.619	1344	0	160
2025.01.03	21:30:00	2637.608	2640.740	2636.644	2640.370	2043	0	160
2025.01.05	23:00:00	2639.644	2642.394	2639.644	2641.728	1350	0	160
2025.01.05	23:30:00	2641.737	2642.249	2640.342	2641.063	1895	0	160
2025.01.06	00:00:00	2641.098	2641.735	2638.604	2639.384	2106	0	160
2025.01.06	00:30:00	2639.396	2643.296	2638.846	2643.191	2218	0	160
2025.01.06	01:00:00	2643.223	2647.426	2640.748	2645.575	4750	0	159
2025.01.06	01:30:00	2645.511	2645.630	2641.209	2641.333	3472	0	159
2025.01.06	02:00:00	2641.292	2644.377	2639.726	2643.334	3139	0	159
2025.01.06	02:30:00	2643.426	2645.295	2642.904	2644.523	2830	0	159
2025.01.06	03:00:00	2644.493	2645.355	2640.744	2642.154	2948	0	159
2025.01.06	03:30:00	2642.131	2642.157	2639.137	2640.190	2170	0	159
2025.01.06	04:00:00	2640.203	2640.824	2634.992	2637.915	3109	0	159
2025.01.06	04:30:00	2637.889	2638.600	2634.197	2635.534	2401	0	159
2025.01.06	05:00:00	2635.531	2636.240	2634.199	2634.261	2508	0	160
2025.01.06	05:30:00	2634.297	2635.001	2631.450	2633.892	4366	0	159
2025.01.06	06:00:00	2633.879	2635.346	2630.726	2631.461	3057	0	159
2025.01.06	06:30:00	2631.451	2632.475	2630.173	2631.460	2968	0	159
2025.01.06	07:00:00	2631.425	2633.634	2630.065	2630.993	3062	0	159
2025.01.06	07:30:00	2631.010	2631.176	2625.058	2626.902	3623	0	159
2025.01.06	08:00:00	2626.889	2630.044	2625.755	2629.768	3213	0	160
2025.01.06	08:30:00	2629.763	2632.547	2627.239	2631.506	3164	0	159
2025.01.06	09:00:00	2631.427	2635.724	2631.150	2633.312	3741	0	159
2025.01.06	09:30:00	2633.312	2634.574	2631.536	2632.699	2415	0	159
2025.01.06	10:00:00	2632.713	2633.444	2631.137	2632.562	2239	0	159
2025.01.06	10:30:00	2632.532	2635.052	2630.930	2633.825	2696	0	159
2025.01.06	11:00:00	2633.852	2645.288	2632.498	2644.852	6989	0	159
2025.01.06	11:30:00	2644.883	2649.489	2643.472	2645.600	7632	0	159
2025.01.06	12:00:00	2645.564	2647.048	2642.317	2642.424	4885	0	159
2025.01.06	12:30:00	2642.394	2647.861	2641.973	2645.395	4071	0	159
2025.01.06	13:00:00	2645.366	2648.848	2641.860	2642.353	7424	0	159
2025.01.06	13:30:00	2642.392	2642.547	2621.685	2624.254	14697	0	159
2025.01.06	14:00:00	2624.190	2629.963	2614.426	2625.639	15103	0	159
2025.01.06	14:30:00	2625.690	2635.030	2622.593	2631.588	12947	0	159
2025.01.06	15:00:00	2631.577	2639.641	2629.445	2639.030	9143	0	159
2025.01.06	15:30:00	2639.064	2639.532	2632.191	2634.392	7934	0	159
2025.01.06	16:00:00	2634.421	2638.860	2632.513	2638.502	5405	0	159
2025.01.06	16:30:00	2638.527	2641.381	2638.153	2640.729	4198	0	159
2025.01.06	17:00:00	2640.727	2641.053	2636.773	2637.353	3448	0	159
2025.01.06	17:30:00	2637.339	2637.502	2634.150	2636.641	3054	0	159
2025.01.06	18:00:00	2636.689	2638.599	2633.719	2636.249	3867	0	159
2025.01.06	18:30:00	2636.214	2636.971	2634.554	2634.619	3054	0	159
2025.01.06	19:00:00	2634.583	2634.975	2632.870	2634.508	3098	0	159
2025.01.06	19:30:00	2634.470	2635.517	2633.603	2634.373	2589	0	160
2025.01.06	20:00:00	2634.410	2635.484	2633.132	2634.120	2551	0	159
2025.01.06	20:30:00	2634.105	2634.865	2633.248	2634.664	2219	0	160
2025.01.06	21:00:00	2634.617	2637.067	2634.617	2636.778	1345	0	159
2025.01.06	21:30:00	2636.769	2636.976	2635.650	2635.748	934	0	160
2025.01.06	23:00:00	2635.919	2636.270	2634.865	2634.865	907	0	159
2025.01.06	23:30:00	2634.913	2635.188	2633.497	2634.681	1245	0	159
2025.01.07	00:00:00	2634.634	2635.185	2632.918	2633.007	1329	0	160
2025.01.07	00:30:00	2633.039	2635.122	2632.936	2635.075	1738	0	159
2025.01.07	01:00:00	2635.034	2639.143	2634.755	2637.495	4198	0	159
2025.01.07	01:30:00	2637.455	2641.146	2636.330	2639.017	3482	0	159
2025.01.07	02:00:00	2639.022	2640.058	2636.941	2638.098	2344	0	159
2025.01.07	02:30:00	2638.132	2639.797	2636.960	2638.610	2667	0	160
2025.01.07	03:00:00	2638.637	2639.514	2637.569	2638.703	1979	0	159
2025.01.07	03:30:00	2638.715	2640.202	2638.392	2639.563	1625	0	159
2025.01.07	04:00:00	2639.560	2639.738	2637.311	2637.964	1684	0	159
2025.01.07	04:30:00	2638.007	2639.694	2637.806	2638.266	1668	0	160
2025.01.07	05:00:00	2638.280	2644.297	2637.020	2643.234	2379	0	159
2025.01.07	05:30:00	2643.234	2645.708	2642.788	2644.439	3391	0	159
2025.01.07	06:00:00	2644.401	2646.757	2643.308	2645.426	2947	0	159
2025.01.07	06:30:00	2645.436	2645.927	2639.873	2640.246	2875	0	159
2025.01.07	07:00:00	2640.242	2642.203	2639.510	2640.763	2435	0	159
2025.01.07	07:30:00	2640.724	2641.375	2638.026	2640.487	2751	0	159
2025.01.07	08:00:00	2640.444	2644.673	2640.050	2643.984	3359	0	159
2025.01.07	08:30:00	2643.956	2644.838	2640.496	2642.652	2448	0	159
2025.01.07	09:00:00	2642.597	2644.180	2640.140	2644.044	2741	0	159
2025.01.07	09:30:00	2644.051	2644.051	2640.517	2641.329	2352	0	159
2025.01.07	10:00:00	2641.375	2643.885	2641.324	2642.658	2398	0	160
2025.01.07	10:30:00	2642.627	2644.747	2642.627	2643.838	2366	0	160
2025.01.07	11:00:00	2643.873	2646.980	2642.014	2645.536	2772	0	159
2025.01.07	11:30:00	2645.508	2648.689	2644.616	2648.348	2471	0	159
2025.01.07	12:00:00	2648.393	2651.391	2647.358	2648.187	3527	0	159
2025.01.07	12:30:00	2648.155	2652.752	2647.585	2651.603	3680	0	159
2025.01.07	13:00:00	2651.642	2661.053	2649.896	2660.480	8632	0	159
2025.01.07	13:30:00	2660.504	2664.264	2657.174	2662.548	7269	0	159
2025.01.07	14:00:00	2662.589	2662.964	2655.802	2660.358	6161	0	159
2025.01.07	14:30:00	2660.382	2663.004	2657.483	2658.486	6672	0	159
2025.01.07	15:00:00	2658.531	2658.531	2641.885	2651.270	13130	0	159
